	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
52957	2674.0	4058.0	3517.0	4556.0	4697.0	4704.0	3317.0	4876.0	5616.0	4848.0	3852.0	4543.0	6635.0	4190.0	4176.0	4325.0	6322.0	5646.0	6742.0	5897.0
52963	2211.0	2598.0	2451.0	3908.0	3089.0	3289.0	2892.0	5126.0	4401.0	4336.0	3126.0	2712.0	4094.0	4240.0	3862.0	2632.0	4532.0	3528.0	5354.0	3814.0
52968	3873.0	4582.0	3308.0	5472.0	5430.0	5830.0	4564.0	6326.0	5980.0	5467.0	5365.0	5478.0	5022.0	4933.0	5164.0	4448.0	5847.0	5283.0	6039.0	5247.0
52972	2104.0	2203.0	2017.0	2856.0	3105.0	2494.0	2229.0	3469.0	4145.0	3053.0	1963.0	2077.0	3491.0	2869.0	2881.0	1829.0	2977.0	2062.0	3482.0	2694.0
52974	3098.0	2930.0	3565.0	4777.0	4649.0	4533.0	3642.0	5163.0	4735.0	4262.0	4318.0	4728.0	4392.0	3327.0	4318.0	3918.0	4928.0	4233.0	6589.0	4667.0
56004	3224.0	3347.0	4222.0	2515.0	2798.0	3769.0	2401.0	3519.0	3305.0	5030.0	3317.0	3828.0	3336.0	2746.0	4556.0	2362.0	3121.0	3439.0	3187.0	3245.0
56016	4028.0	3891.0	2665.0	4175.0	4293.0	5024.0	4278.0	4879.0	4973.0	6200.0	3871.0	4373.0	4067.0	4727.0	5160.0	3136.0	3446.0	3987.0	4647.0	4502.0
56018	5583.0	4925.0	4464.0	5948.0	5512.0	5480.0	4471.0	4955.0	7008.0	6188.0	4553.0	5473.0	5996.0	5560.0	6805.0	4319.0	4259.0	5351.0	5915.0	6598.0
56021	3455.0	4001.0	3284.0	3853.0	4859.0	5458.0	3967.0	4463.0	4953.0	5180.0	5144.0	4948.0	5664.0	4696.0	4424.0	2762.0	3421.0	4474.0	4619.0	4672.0
56029	5091.0	4912.0	3496.0	5780.0	4372.0	5475.0	3987.0	3791.0	5133.0	6040.0	4241.0	5403.0	5850.0	4612.0	6335.0	4090.0	4298.0	6169.0	5900.0	5650.0
56033	2975.0	2670.0	3126.0	2960.0	3318.0	3945.0	3280.0	4289.0	2832.0	4749.0	3322.0	3853.0	4196.0	3116.0	3620.0	2986.0	3738.0	3550.0	4725.0	4342.0
56034	4716.0	4087.0	4152.0	5008.0	5128.0	5896.0	4820.0	5741.0	5625.0	6221.0	5709.0	5925.0	6520.0	5930.0	6019.0	4887.0	4340.0	5280.0	6239.0	6463.0
56043	3810.0	4239.0	4684.0	5203.0	5443.0	6325.0	3803.0	5845.0	5810.0	6275.0	4828.0	5440.0	6017.0	4854.0	4871.0	4631.0	6292.0	5178.0	6915.0	6063.0
56045	4589.0	4186.0	4677.0	4653.0	5659.0	6505.0	4144.0	5697.0	6078.0	6242.0	5055.0	5530.0	6673.0	4846.0	6157.0	5031.0	5294.0	5398.0	6524.0	6190.0
56046	5187.0	5121.0	4131.0	6104.0	5910.0	6307.0	4662.0	6589.0	6231.0	6023.0	5712.0	5612.0	6439.0	5850.0	6344.0	5368.0	4750.0	6455.0	6723.0	6686.0
56065	4239.0	4927.0	3841.0	6025.0	6322.0	6272.0	5072.0	7333.0	6129.0	6305.0	5649.0	7247.0	6217.0	5088.0	4906.0	4273.0	6563.0	6285.0	7206.0	6235.0
56067	5626.0	5998.0	5816.0	7961.0	7508.0	9072.0	7858.0	7255.0	6434.0	7926.0	6400.0	8316.0	7255.0	7508.0	8446.0	7076.0	7038.0	8544.0	8752.0	8875.0
56125	6519.0	5553.0	4333.0	7387.0	4913.0	6350.0	5524.0	5756.0	5859.0	5624.0	5641.0	5418.0	6838.0	5088.0	5536.0	4927.0	4835.0	5604.0	6514.0	4978.0
56151	6999.0	5306.0	4426.0	6553.0	6617.0	7248.0	5939.0	6347.0	6495.0	6979.0	6321.0	7625.0	7064.0	6206.0	8202.0	6023.0	6343.0	6953.0	7000.0	6656.0
52854																				3997.0
52941																				2725.0
